"DATASET_ID","CATEGORY","TOPIC","TERM","VARIABLE","VARIABLE_DETAIL"
"62","Earth Science","Atmosphere","Atmospheric Chemistry","Carbon and Hydrocarbon Compounds","Carbon Dioxide"
"63","Earth Science","Atmosphere","Atmospheric Chemistry","Carbon and Hydrocarbon Compounds","Carbon Dioxide"
"64","Earth Science","Atmosphere","Atmospheric Chemistry","Carbon and Hydrocarbon Compounds","Carbon Dioxide"
"65","Earth Science","Atmosphere","Atmospheric Chemistry","Carbon and Hydrocarbon Compounds","Carbon Dioxide"
"66","Earth Science","Atmosphere","Atmospheric Chemistry","Carbon and Hydrocarbon Compounds","Carbon Dioxide"
"67","Earth Science","Atmosphere","Atmospheric Chemistry","Carbon and Hydrocarbon Compounds","Carbon Dioxide"
"68","Earth Science","Atmosphere","Atmospheric Chemistry","Carbon and Hydrocarbon Compounds","Carbon Dioxide"
"69","Earth Science","Atmosphere","Atmospheric Chemistry","Carbon and Hydrocarbon Compounds","Carbon Dioxide"
"70","Earth Science","Atmosphere","Atmospheric Chemistry","Carbon and Hydrocarbon Compounds","Carbon Dioxide"
"71","Earth Science","Atmosphere","Atmospheric Chemistry","Carbon and Hydrocarbon Compounds","Carbon Dioxide"
"72","Earth Science","Atmosphere","Atmospheric Chemistry","Carbon and Hydrocarbon Compounds","Carbon Dioxide"
"73","Earth Science","Atmosphere","Atmospheric Chemistry","Carbon and Hydrocarbon Compounds","Carbon Dioxide"
"74","Earth Science","Atmosphere","Atmospheric Winds","Ancillary","Ancillary Data"
"75","Earth Science","Atmosphere","Atmospheric Winds","Telemetry Data","Subsetted Raw Telemetry Data"
"76","Earth Science","Atmosphere","Atmospheric Winds","Telemetry Data","Consolidated Raw Telemetry Data"
"77","Earth Science","Atmosphere","Atmospheric Winds","ENGINEERING PARAMETERS","Engineering Units"
"78","Earth Science","Oceans","Ocean Winds","Surface Winds","Sigma-Naught"
"79","Earth Science","Oceans","Ocean Winds","Surface Winds","Ancillary"
"80","Earth Science","Oceans","Ocean Winds","Surface Winds","Sigma-Naught"
"81","Earth Science","Oceans","Ocean Winds","Surface Winds","Ancillary"
"82","Earth Science","Oceans","Ocean Winds","Surface Winds","Sigma-Naught"
"83","Earth Science","Oceans","Ocean Winds","Surface Winds","Ancillary"
"84","Earth Science","Oceans","Ocean Winds","Surface Winds","Ocean Wind Speed"
"84","Earth Science","Oceans","Ocean Winds","Surface Winds","Ocean Wind Vectors"
"85","Earth Science","Oceans","Ocean Winds","Surface Winds","Ancillary"
"86","Earth Science","Oceans","Ocean Winds","Surface Winds","Ocean Wind Speed"
"86","Earth Science","Oceans","Ocean Winds","Surface Winds","Ocean Wind Vectors"
"87","Earth Science","Oceans","Ocean Winds","Surface Winds","Ancillary"
"88","Earth Science","Atmosphere","Atmospheric Winds","Surface Winds","10 Meter Ocean Wind Vector Components"
"88","Earth Science","Atmosphere","Atmospheric Winds","Surface Winds","10 Meter Ocean Wind Vector Components"
